name,longitude_trench,latitude_trench,longitude_arc,latitude_arc,age,ridge_trench_angle_Φ,ridge_convergence_angle_α,migration_rate
Taltal R.,-73.56927198062299,-19.33872390424613,-72.20270148554883,-17.565424223436963,18.0,14.965017120696032,44.65855470246045,11.128622145244696
Taltal R.,-74.40756635496011,-18.43747242440834,-73.0476964844899,-16.754436859324752,19.0,11.5753838532694,46.52811572099427,10.971494624589894
Taltal R.,-75.22165070160094,-17.747875594317623,-73.75361088862198,-16.095389884830738,20.0,7.725353803381097,42.74797836873613,10.87733719690294
Taltal R.,-75.80977177927862,-17.164831415016902,-74.16794104103842,-15.66954783915988,21.0,0.8522062712004441,39.57803353397586,9.657637073783285
Taltal R.,-76.34157599000987,-16.650177370505627,-74.44330183090304,-15.367863840234124,22.0,7.295319638898519,36.951457980076086,7.989390779319602
Taltal R.,-76.71118885130791,-16.330609323972855,-74.55661440124418,-15.289008472157144,23.0,15.124026550584531,28.32409355451847,6.453687724474299
Taltal R.,-76.47437372911271,-16.640293594407986,-74.21799944271199,-15.848344021387229,24.0,21.12737017227431,8.714149892827816,1.96834444556115
Taltal R.,-76.20857692368126,-17.034027954102253,-73.7768771714133,-16.38797769643835,25.0,24.83712946018844,3.933958945850368,0.90257475669241
Taltal R.,-75.94532180273524,-17.474657124813124,-73.35860063735882,-16.932869711536014,26.0,26.845731665494093,1.9294125878101176,0.4558090201422085
Taltal R.,-75.70944824190957,-17.912279871288693,-73.0440732277262,-17.44327572384199,27.0,27.719185022137417,10.64553226374634,2.0422870318570263
Copiapo R.,-71.7367271828454,-27.217715185099657,-68.64438038691792,-26.708000484146552,0.0,21.02635505639365,10.728787787355731,1.815404285773657
Copiapo R.,-71.75272321767052,-27.03626188855016,-68.62663649111461,-26.22647598075474,1.0,25.32496514923908,5.738183097453214,1.030267256591268
Copiapo R.,-71.77465324956653,-26.87694340441121,-68.66093914068742,-26.09830002238573,2.0,24.665349558600557,6.023250931684989,1.0976650335634013
Copiapo R.,-71.80326875677468,-26.74065087503629,-68.6889352047364,-25.91980509868301,3.0,25.20387235196577,5.017321333975751,0.91927861535871
Copiapo R.,-71.8387306330402,-26.623850241113825,-68.71813917959732,-25.64590487213564,4.0,27.63930430788824,2.0190106597140938,0.3707014576806993
Copiapo R.,-71.84965274854396,-26.33370285739565,-68.68796375170166,-24.739031436088634,5.0,35.82538728478948,7.74725515160156,1.544900491937056
Copiapo R.,-71.8494642451034,-25.88289897772276,-68.679788946516,-23.54735541933664,6.0,43.74483534641936,22.419424491536844,5.348882909064274
Copiapo R.,-71.8844690856464,-25.63736889590953,-68.77190820015298,-24.0434421472752,7.0,32.454659774826624,20.560264249269547,5.018949530126926
Copiapo R.,-71.9265802834944,-25.46046916668115,-68.88027299559904,-24.98054592801547,8.0,13.766332928374169,0.4258553879808285,0.094756612677305
