normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance
-0.10969142,-0.4259074,-0.04069693,0.5002337
-0.1146793525,-0.4311358899999999,-0.026952818,0.5239534699999999
-0.0827665099999999,-0.073033088,-0.20407476,-0.962931785
-0.06048137,-0.403678315,-1.1037001,-0.123358938
-0.122948128,-0.06776025,-0.145978665,-0.8785685
-0.0832074499999999,-0.06667106,-0.18601779,-0.946640185
-0.18041754,-0.46725999,-0.112388727,-0.324383115
-0.12556044,-0.0471293985,-0.117319743,-0.64441642
-0.0908027999999999,-0.43731907,-1.0924156,-0.74812267
-0.09021274,-0.497782165,-1.0742419,-0.7418357499999999
-0.21143581,0.27012033,-0.3413933799999999,-0.88627375
-0.14550088,-0.5163936,-0.98599555,-0.68974258
0.0773702075,-0.80200145,-0.092995908,0.20203281
0.02308889,-0.39314684,-0.125067315,0.50659885
0.11682791,-0.407569775,-0.0726152075,-0.0828400149999999
-0.0119080075,-0.46151109,-0.17251457,0.251524235
0.087660137,-0.15139313,0.021329061,0.482519805
0.0766458075,-0.447678875,-0.336111305,-0.124871535
0.0412974059999999,-0.48746464,-0.25000124,-0.51236765
0.0151141495,-0.3622598,-0.368690415,-0.096343365
-0.0368732625,-0.29361545,0.069561275,0.260380405
-0.026112364,0.170749065,-0.1840239,0.50776295
-0.12770381,-0.580958225,-0.171093995,-0.0892531219999999
-0.18159404,-0.51093738,-0.249210315,-0.28374025
-0.17043383,-0.69817052,-0.59287307,-0.25802657
-0.25083644,0.0026102403,0.1805225899999999,0.3177799
-0.04121468,-0.34586699,-0.07530935,-0.092181427
-0.14118555,-0.6748424500000001,-0.873607995,-0.6409257749999999
-0.45538738,-0.0769923625,0.2092942549999999,-0.534383025
-0.7586786299999999,-0.5981074,-0.36722665,-0.166463795
-0.35052076,-0.81489353,-0.1988628949999999,-0.14912623
-0.499767125,-0.3163163049999999,-0.08503573,0.66436115
-0.375281795,-0.7268098000000001,0.269862715,-0.5093943000000001
-0.37307204,-0.33620459,-0.13114597,0.445096585
-0.52476555,-0.456159965,-0.0517533904999999,-0.15151926
-0.378088625,0.24462685,0.21463163,-0.49722272
-0.50307407,-0.3797662699999999,-0.14796514,-0.48844058
-0.336140135,-0.418920205,-0.117531845,-0.6636030500000001
-0.376078905,0.16370542,0.052395413,-0.775200285
-0.113940015,-0.711676585,-0.892783045,-0.6862618
-0.31780902,-0.382435485,-0.161802275,-0.68235385
-0.334228835,-0.4243833449999999,-0.11857897,-0.69778823
-0.47165877,-0.66954342,-0.0690049849999999,0.5866733749999999
-0.4522516749999999,-0.66237763,-0.1111436025,0.40756819
-0.19377745,0.48826552,-0.169100315,-0.63520907
-0.06257257,0.43619049,-0.14309762,-0.927757535
-0.16161726,0.453155295,-0.10516318,-0.51183221
-0.272823215,0.27077213,-0.2139455499999999,-0.75325395
-0.340713065,-0.35807155,0.297659355,-0.7240326
-0.38273409,-0.6780504249999999,-0.163020625,-0.5991694000000001
0.037789982,-0.305342585,0.059348788,0.2577956
-0.177275345,0.50430853,-0.16372824,-0.60907197
-0.234845935,-0.3903417999999999,-0.232958655,-0.5534082499999999
-0.225004745,-0.38140175,-0.24286296,-0.6708959
-0.3165719649999999,0.35055735,-0.14593754,-0.77864052
-0.352998915,-0.402486675,-0.1885520749999999,-0.7955881
-0.08587732,0.444671825,0.23143791,-0.8391353
-0.1058916249999999,0.54082305,-0.30217875,-0.042398392
-0.10876315,0.546040675,-0.310460095,-0.15045227
-0.28342624,-0.6176462199999999,0.26191828,-0.562443
-0.43906544,-0.83099235,0.1225008725,-0.77908992
-0.0624305835,0.146233335,0.2495111749999999,-0.87989012
-0.268042165,0.351195185,-0.1414847,0.39144591
-0.1696898299999999,-0.1758991,0.29095897,-0.80261408
-0.1107188249999999,-0.5944995,-0.800393025,-0.6659178
-0.16387204,-0.415939635,0.18001269,-1.0229951
0.0118144055,-0.656478035,-0.901551695,-0.6266068
-0.07866887,-0.739159495,0.447051985,-0.537560465
-0.072254258,-0.750417585,0.453372215,-0.56392775
0.058016157,-0.78949934,-0.44867884,-0.15562874
-0.12934251,-0.37311893,-0.38051334,-0.1515134
0.0907105649999999,-0.643498745,0.24716072,0.39167947
0.000193964925,-0.8345428500000001,0.00377052525,0.22338941
-0.0179704805,-1.18948385,-0.254795815,-0.2463681449999999
-0.216729085,-0.55559954,0.0619945985,-0.8967557
