name,longitude,latitude,age,normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance,cu_mt
['Alto Chicama'],-78.247466,-7.964513,17.0,13.310812389363042,54.09293746948242,20.795744333995216,12.029782274487626,0.0
['El  Galeno'],-78.3166666666667,-7.01666666666667,17.0,13.338259284879356,40.28192138671875,19.329951816118395,18.170029683298544,4.09062
['Filo del Sol'],-69.666,-28.495533,18.0,15.72528253184366,63.86513900756836,14.584793167039848,64.1769067829883,1.01049
['La Tigrera'],-79.63333,-3.21667,18.0,12.380051755759046,43.23556900024414,12.480580643048713,38.85386751918343,0.0
['El Toro'],-78.02,-7.83,18.1,12.37703835504119,41.9407844543457,23.948326594790515,6.890709760664697,0.0
['Pachagón'],-78.615559,-7.76556,18.15,12.37703835504119,41.9407844543457,23.948326594790515,7.337178122121379,0.5
['La Coipa'],-69.27,-26.81,18.5,15.839151340650462,73.08914184570312,10.437897387602618,34.066720254319655,0.0
['Caserones'],-69.5334,-28.1792,19.0,15.653327511247602,77.38993835449219,12.446493799836873,34.42308423392447,4.455
['Telimbela'],-79.066,-1.5,19.2,12.281541897121558,47.07351303100586,9.355581378842388,49.44462995854231,1.375
['Michiquillay'],-78.321,-7.031,20.0,13.155529809001544,44.85799407958984,22.71087143658244,0.0678500730002286,6.3
['Gaby-Papa  Grande'],-79.7,-3.1,20.4,13.329497590360656,47.75656509399414,11.084308857875868,32.243615700389,0.36
['San Antonio de Esquilache'],-70.290493,-16.118728,20.5,13.145406052986566,79.65765380859375,34.91730723653471,30.0064561578691,0.0
['Balzapamba-Las Guardias'],-79.1333,-1.73333,21.5,12.66588233449937,51.493385314941406,6.279131259162512,36.92138348057312,2.09
['Berenguela'],-70.51667,-15.61667,23.0,9.773903338606727,80.81898498535156,42.01535783052527,12.849082884767004,0.348916
['Pancho'],-69.311958,-27.540832,23.22,13.025100932110298,70.7819595336914,3.884275788612257,21.7935807587586,0.3993299999999999
['Verde'],-69.28,-27.38,23.275,13.025100932110298,70.7819595336914,3.884275788612257,21.12889596280893,0.597516
['Cerro Hermoso'],-70.641667,-15.655556,23.5,10.112770321338632,81.39342498779297,29.98391485917808,3.120098214579177,0.015
['Cangrejos'],-79.80083,-3.49138,23.51,12.442884695375977,53.17758941650391,23.433343855281265,3.262256836220839,0.2
['La Pepa'],-69.28,-27.27,23.81,10.140064867242256,70.38663482666016,7.672557832092437,1.2965619760539973,0.6073760000000001
['Caspiche-Santa Cecilia'],-69.299166,-27.675,24.0,10.140064867242256,69.78144836425781,7.672557832092437,1.4126381897919833,2.34958
['Josemaria'],-69.5486,-28.4359,24.7,9.480080869596042,70.63956451416016,17.62473048693839,6.291699332448663,2.9232
['La Arena'],-78.136317,-7.895148,25.9,13.05410118029722,67.92560577392578,13.284491532593163,24.4771653769186,2.636364
